0.24	0.01	0.45	1.00	0.19990005	0.12	0.14	1.310064	0
1.16	0.05	0.31	0.70	0.1998002	0.12	0.18	1.7286048	1
0.22	0.01	0.36	0.80	0.199966672	0.12	0.13	1.2894752	2
0.44	0.02	0.13	0.30	0.216594469	0.13	0.07	0.7043267	3
0.00	0.00	0.45	1.00	0.216594469	0.13	0.17	1.74777	4
0.22	0.01	0.72	1.60	0.083347225	0.05	0.16	1.6492736	5
0.00	0.00	0.54	1.20	0.15	0.09	0.17	1.7599556	6
0.21	0.01	0.54	1.20	0.116705569	0.07	0.12	1.252494	7
0.00	0.00	0.85	1.90	0.133288904	0.08	0.17	1.7871624	8
0.00	0.00	0.40	0.90	0.249833444	0.15	0.09	0.9471825	9
0.21	0.01	0.54	1.20	0.166694449	0.1	0.09	0.9556218	10
0.21	0.01	0.41	0.90	0.066688896	0.04	0.16	1.706496	11
0.41	0.02	0.09	0.20	0.183333333	0.11	0.13	1.4044914	12
0.20	0.01	0.45	1.00	0.116647225	0.07	0.08	0.872376	13
0.20	0.01	0.27	0.60	0.216594469	0.13	0.12	1.310652	14
0.00	0.00	0.54	1.20	0.183486239	0.11	0.08	0.8799064	15
0.20	0.01	0.45	1.00	0.099966678	0.06	0.18	1.990944	16
0.80	0.04	0.36	0.80	0.200066689	0.12	0.09	1.00395	17
0.20	0.01	0.54	1.20	0.200066689	0.12	0.07	0.7856856	18
0.00	0.00	0.63	1.40	0.149925037	0.09	0.08	0.8975232	19
0.59	0.03	0.54	1.20	0.166694449	0.1	0.14	1.590078	20
0.20	0.01	0.49	1.10	0.100050025	0.06	0.11	1.2501104	21
0.19	0.01	0.49	1.10	0.133355559	0.08	0.09	1.0302102	22
0.58	0.03	0.45	1.00	0.166638894	0.1	0.12	1.3729968	23
0.00	0.00	0.45	1.00	0.116647225	0.07	0.13	1.4920906	24
0.19	0.01	0.45	1.00	0.049983339	0.03	0.12	1.3853532	25
0.39	0.02	0.58	1.30	0.149925037	0.09	0.18	2.0829816	26
0.00	0.00	0.58	1.30	0.183333333	0.11	0.15	1.7399475	27
0.00	0.00	0.85	1.90	0.066688896	0.04	0.11	1.290135	28
0.19	0.01	0.45	1.00	0.166694449	0.1	0.13	1.5264028	29
